;;;;;;;;;;;;;
TAMAÑOS COMUNES;;;;;;;;;;;;;
PRECIOS DE PLOTEO;LINEA NEGRA;LINEA COLOR;10%;20%;30%;40%;50%;60%;70%;80%;90%;FULL COLOR;
PLIEGO  100x70;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.500;
1/2 PLIEGO  70x50;3.500;4.000;4.500;5.000;5.500;6.000;6.500;7.000;7.500;8.000;8.500;9.000;
1/4 PLIEGO  50x35;2.500;3.000;3.200;3.400;3.600;3.800;4.000;4.200;4.400;4.600;4.800;5.000;
PLIEGO  100x90;7.500;9.000;10.400;11.800;13.200;14.600;16.000;17.400;18.800;20.200;21.600;23.000;
EXTRAPLIEGO 100X100;9.000;10.000;11.500;13.000;14.500;16.000;17.500;19.000;20.500;22.000;23.500;25.000;
PLANO CARTA/OFICIO;1.000;1.500;-;-;-;-;-;-;-;-;-;1.500;
PLANO DOBLE CARTA;2.000;2.500;-;-;-;-;-;-;-;-;-;2.500;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
EXTRAPLIEGOS;;;;;;;;;;;;;
PRECIOS DE PLOTEO;LINEA NEGRA;LINEA COLOR;10%;20%;30%;40%;50%;60%;70%;80%;90%;FULL COLOR;LONGITUD EN METROS
PLIEGO  100x70;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.500;1
PLIEGO  100x90;7.500;9.000;10.400;11.800;13.200;14.600;16.000;17.400;18.800;20.200;21.600;23.000;1
EXTRAPLIEGO 100X100;9.000;10.000;11.500;13.000;14.500;16.000;17.500;19.000;20.500;22.000;23.500;25.000;1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
